Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,40308_AvalParcial,40308_TaxaAssid,40335_AvalParcial,40335_TaxaAssid,42782_AvalParcial,42782_TaxaAssid,43501_AvalParcial,43501_TaxaAssid,44243_AvalParcial,44243_TaxaAssid,47035_AvalParcial,47035_TaxaAssid,47176_AvalParcial,47176_TaxaAssid,47215_AvalParcial,47215_TaxaAssid
b1,1090,A1090,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Ordinário,1,60,10,30,24,,0,0,14.25,10,0,,,,,,,,,,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1394,A1394,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,11.8,10,0,,,,,,10,155.8,1,1,10,5,,100,,94.44,,100,,100,,,,100,,,,
b1,1395,A1395,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,12.75,10,0,30,21/09/2017,Indeferida,12/02/2018,,10,152.8,1,1,10,5,,100,,88.89,,100,,100,,,,84.62,,,,
b1,1400,A1400,F,,BRASIL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,11.25,10,0,,,,,,10,143.4,1,4,10,5,,100,,88.89,,100,,100,,,,100,,,,
b1,1401,A1401,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13.8,10,0,10,11/08/2017,Deferida,27/10/2017,,10,167.6,1,1,10,5,,100,,94.44,,100,,100,,,,84.62,,,,
b1,1403,A1403,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,14,10,0,,,,,,10,152.8,1,1,10,5,,100,,94.44,,100,,100,,,,100,,,,
b1,1412,A1412,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,14.8,10,0,,,,,,10,162.4,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1414,A1414,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,11.2,10,0,,,,,,10,144.4,1,1,10,5,,100,,94.44,,100,,100,,,,100,,,,
b1,1418,A1418,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,14.4,10,0,10,21/08/2017,Deferida,20/11/2017,1546,10,156.8,1,2,10,5,,100,,100,,100,,100,,,,92.31,,,,
b1,1425,A1425,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,13,10,0,10,24/09/2017,Deferida,21/10/2017,2168,10,138.8,1,1,10,5,,100,,100,,100,,100,,,,92.31,,,,
b1,1427,A1427,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Trabalhador Estudante,1,60,10,30,18,,0,0,11.67,30,283.58,,,,,,10,150.2,1,1,10,5,,100,,100,,100,,100,,,,84.62,,,,
b1,1435,A1435,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,16.2,10,0,10,30/08/2017,Deferida,10/11/2017,1064,10,175,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1457,A1457,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,11.25,10,0,,,,,,10,139,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1484,A1484,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,13.75,10,0,,,,,,10,142.8,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1486,A1486,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,14.6,10,0,10,16/08/2017,Deferida,09/11/2017,2637,10,165.6,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1495,A1495,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,16.4,10,0,30,14/09/2017,Indeferida,05/02/2018,,10,174.8,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1505,A1505,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,11.6,10,0,30,17/09/2017,Indeferida,27/10/2017,,10,157.8,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1514,A1514,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,11,10,0,,,,,,10,144.6,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1518,A1518,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,18,,0,0,11,10,0,,,,,,10,146.8,1,2,10,5,,100,,100,,100,,100,,,,92.31,,,,
b1,1525,A1525,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,14.2,10,0,,,,,,10,154.6,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1529,A1529,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,64,10,34,34,,0,0,12.8,10,0,,,,,,10,145.4,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1536,A1536,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13.6,10,0,,,,,,10,147.2,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1538,A1538,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,12.25,30,295.4,,,,,,10,149.4,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1544,A1544,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,18,,0,0,12,10,0,10,24/08/2017,Deferida,11/12/2017,1064,10,143.8,1,2,10,5,,100,,100,,87.5,,100,,,,100,,,,
b1,1547,A1547,F,,PORTUGAL,Sim,Não,,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ANULADO,Regime Geral,Ordinário,1,0,,0,0,,0,0,0,10,0,,,,,,10,144.4,1,2,,0,,,,,,,,,,,,,,,,
b1,1548,A1548,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,15,10,0,,,,,,10,159.6,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1551,A1551,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.6,10,0,10,12/09/2017,Deferida,09/11/2017,1064,10,169.8,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1555,A1555,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.4,10,0,,,,,,10,141.8,1,2,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1556,A1556,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.2,10,0,,,,,,10,139.4,1,1,10,5,,100,,100,,87.5,,100,,,,100,,,,
b1,1560,A1560,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.6,10,0,10,28/08/2017,Deferida,24/11/2017,1064,10,145.6,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1561,A1561,F,,BRASIL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,16.4,10,0,,,,,,10,165.4,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1564,A1564,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,10.75,10,0,,,,,,10,149.8,1,1,30,5,,100,,100,,75,,100,,,,92.31,,,,
b1,1571,A1571,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.8,10,0,20,26/09/2017,Em análise,,1130,10,172.4,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1573,A1573,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.4,10,0,10,23/08/2017,Deferida,13/10/2017,1925,10,143,1,2,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1577,A1577,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,12,10,0,,,,,,10,144.6,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1578,A1578,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,18,,0,0,10.67,10,0,20,30/09/2017,Em análise,,2030,10,150.2,1,1,30,5,,93.75,,100,,62.5,,100,,,,84.62,,,,
b1,1580,A1580,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,13.5,10,0,,,,,,10,138.8,1,2,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1586,A1586,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,16,10,0,,,,,,10,175.4,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1587,A1587,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,14,10,0,,,,,,10,142.8,1,1,10,5,,100,,94.12,,100,,100,,,,100,,,,
b1,1595,A1595,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Agente Associativo - Lei 23/2006,1,60,10,30,30,,0,0,14.4,10,0,,,,,,10,154,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1602,A1602,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13.2,10,0,,,,,,10,162.2,1,2,10,5,,100,,94.12,,87.5,,100,,,,100,,,,
b1,1621,A1621,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,12.75,10,0,,,,,,10,139.2,1,3,30,5,,100,,100,,75,,100,,,,92.31,,,,
b1,1623,A1623,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,12.25,10,0,,,,,,10,140.2,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1625,A1625,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,12,10,0,,,,,,10,141.8,1,2,10,5,,100,,100,,87.5,,100,,,,100,,,,
b1,1626,A1626,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,13.75,10,0,,,,,,10,145,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1630,A1630,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13.8,10,0,,,,,,10,154.8,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1638,A1638,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,72,10,36,36,,0,0,13,10,0,,,,,,10,160,1,1,20,7,,100,,100,,100,,100,,,,100,,-1,,93.75
b1,1643,A1643,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13.8,10,0,,,,,,10,169.2,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1646,A1646,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13,10,0,10,04/08/2017,Deferida,20/11/2017,1142,10,148.8,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1648,A1648,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,11.8,10,0,30,29/09/2017,Indeferida,08/01/2018,,10,139.4,1,4,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1660,A1660,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,18,,0,0,12.67,10,0,30,09/09/2017,Indeferida,20/11/2017,,10,142.6,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1670,A1670,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,11,10,0,10,30/09/2017,Deferida,05/02/2018,1064,10,157.2,1,1,10,5,,100,,100,,87.5,,100,,,,92.31,,,,
b1,1680,A1680,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.8,10,0,20,28/09/2017,Em análise,,1064,10,137,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1683,A1683,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,14.25,10,0,10,03/08/2017,Deferida,05/02/2018,3642,10,138,1,3,10,5,,100,,100,,85.71,,100,,,,92.31,,,,
b1,1688,A1688,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,11.5,10,0,30,14/09/2017,Indeferida,22/01/2018,,10,139.8,1,1,10,5,,93.75,,100,,100,,100,,,,100,,,,
b1,1689,A1689,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,18,,0,0,11.33,10,0,10,15/09/2017,Deferida,21/10/2017,2953,10,151.6,1,4,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1690,A1690,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.4,10,0,,,,,,10,170.8,1,1,10,5,,93.75,,100,,100,,100,,,,92.31,,,,
b1,1695,A1695,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,15.4,10,0,20,17/08/2017,Em análise,,1064,10,177.4,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1697,A1697,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,11.5,10,0,,,,,,10,148.8,1,3,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1699,A1699,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,15.4,30,283.58,10,23/09/2017,Deferida,08/04/2018,2876,10,157.2,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1702,A1702,F,,BRASIL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,18,,0,0,11,10,0,,,,,,10,142.6,1,2,10,5,,100,,100,,85.71,,100,,,,100,,,,
b1,1708,A1708,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13.2,10,0,,,,,,10,142.2,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1713,A1713,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13.6,10,0,10,27/09/2017,Deferida,27/10/2017,1064,10,152.2,1,2,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1715,A1715,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13.8,10,0,10,24/09/2017,Deferida,22/01/2018,2652,10,157.6,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1718,A1718,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13.4,10,0,10,27/09/2017,Deferida,10/11/2017,1064,10,160,1,2,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1727,A1727,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.8,10,0,20,07/08/2017,Em análise,,,10,144.6,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1729,A1729,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.6,10,0,,,,,,10,166.2,1,1,10,5,,100,,100,,100,,100,,,,92.31,,,,
b1,1735,A1735,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,13,10,0,,,,,,10,144.6,1,1,10,5,,100,,100,,100,,100,,,,92.31,,,,
b1,1737,A1737,F,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,11.5,10,0,,,,,,10,142.2,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1739,A1739,F,,ÁUSTRIA,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,30,,0,0,12.4,10,0,,,,,,10,148.8,1,1,10,5,,100,,100,,100,,100,,,,100,,,,
b1,1742,A1742,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,24,,0,0,12.5,10,0,10,19/09/2017,Deferida,27/10/2017,1739,10,144.4,1,1,10,5,,100,,100,,100,,100,,,,92.31,,,,
