Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,90050_AvalParcial,90050_TaxaAssid,90073_AvalParcial,90073_TaxaAssid,90114_AvalParcial,90114_TaxaAssid,90123_AvalParcial,90123_TaxaAssid,90162_AvalParcial,90162_TaxaAssid,90172_AvalParcial,90172_TaxaAssid,90240_AvalParcial,90240_TaxaAssid,90243_AvalParcial,90243_TaxaAssid,90244_AvalParcial,90244_TaxaAssid,90245_AvalParcial,90245_TaxaAssid,99245_AvalParcial,99245_TaxaAssid
b1,1309,A1309,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,30,27/09/2017,Indeferida,06/11/2017,,30,115.8,1,4,20,5,,,,100,,,,83.87,,,,,,100,,-2,,100,,,,
b1,1330,A1330,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,30,24/09/2017,Indeferida,24/11/2017,,10,126.3,1,4,20,5,,,,100,,,,93.55,,,,,,100,,-2,,92.31,,,,
b1,1347,A1347,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,07/08/2017,Deferida,,,10,120.1,1,6,20,5,,,,100,,,,100,,,,,,100,,-2,,92.31,,,,
b1,1351,A1351,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,07/08/2017,Deferida,09/10/2017,1064,10,133.7,1,3,20,5,,,,100,,,,64.52,,,,,,100,,-2,,100,,,,
b1,1352,A1352,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,22/10/2017,Deferida,20/11/2017,1064,10,135.8,1,6,20,5,,,,100,,,,64.52,,,,,,100,,-2,,92.31,,,,
b1,1369,A1369,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,131.3,1,6,20,5,,,,100,,,,100,,,,,,100,,-2,,100,,,,
b1,1641,A1641,M,,PORTUGAL,Não,Não,,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ANULADO,Regime Geral,Ordinário,1,0,,0,0,,0,0,0,10,0,,,,,,30,118.5,1,3,,0,,,,,,,,,,,,,,,,,,,,,,
b1,2864,A2864,F,,PORTUGAL,Não,Não,,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ANULADO,Regime Geral,Ordinário,1,0,,0,0,,0,0,0,10,0,10,09/09/2017,Deferida,21/10/2017,,10,124.9,2,4,,0,,,,,,,,,,,,,,,,,,,,,,
b1,2892,A2892,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,15/09/2017,Deferida,08/01/2018,1064,10,127.1,2,1,20,6,,,,100,,,,96.77,,,,,,100,,-2,,100,,-1,,
b1,2927,A2927,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,135.9,2,2,20,6,,,,100,,,,83.87,,,,,,100,,-2,,100,,-1,,
b1,2983,A2983,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,141.79,30,09/08/2017,Indeferida,10/11/2017,,10,133.6,2,3,20,6,,,,100,,,,93.55,,,,,,100,,-2,,100,,-1,,
b1,3044,A3044,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,283.58,,,,,,10,128.3,2,1,20,6,,,,100,,,,80.65,,,,,,100,,-2,,92.31,,-1,,
b1,3083,A3083,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,19/09/2017,Deferida,22/01/2018,2791,10,122.8,2,5,20,6,,,,100,,,,93.55,,,,,,100,,-2,,100,,-1,,
b1,3086,A3086,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,607.68,10,17/10/2017,Deferida,04/12/2017,1064,10,123.4,2,6,20,6,,,,100,,,,90.32,,,,,,100,,-2,,100,,-1,,
b1,3102,A3102,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,137.5,2,3,20,6,,,,100,,,,90.32,,,,,,100,,-2,,100,,-1,,
b1,3120,A3120,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,10,125.5,2,2,20,6,,,,100,,,,90.32,,,,,,100,,-2,,100,,-1,,
