TESTE_Desc,IDFICA,Subconjunto,Curso,Numero,Nome,EstadoMatricula,MOTIVO_ANULACAO,DATA_ANULACAO
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,23,490,A490,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,30,511,A511,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,16,520,A520,ANULADO,POR MOTIVOS PROFISSIONAIS,22/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,60,572,A572,ANULADO,DESISTÊNCIA DE ESTUDO,22/02/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,56,702,A702,ANULADO,MUDANÇA DE CURSO DENTRO DA UA,25/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,57,721,A721,ANULADO,MOTIVOS DE SAÚDE,05/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,45,764,A764,ANULADO,DESISTÊNCIA DE ESTUDO,03/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,74,779,A779,ANULADO,DESISTÊNCIA DE ESTUDO,01/03/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,38,788,A788,ANULADO,DESISTÊNCIA DE ESTUDO,29/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,42,791,A791,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,55,814,A814,ANULADO,MOTIVOS DE SAÚDE,26/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,6,822,A822,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,2,824,A824,ANULADO,DESISTÊNCIA DE ESTUDO,01/03/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,1,833,A833,ANULADO,DESISTÊNCIA DE ESTUDO,11/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,4,866,A866,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,5,882,A882,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,5,903,A903,ANULADO,(DENTRO DA UA) - COLOCAÇÃO NA 2ª OU 3ª FASE DE CANDIDATURA,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,3,915,A915,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,5,925,A925,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,14,953,A953,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,2,955,A955,ANULADO,(DENTRO DA UA) - COLOCAÇÃO NA 2ª OU 3ª FASE DE CANDIDATURA,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,15,992,A992,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,14,1011,A1011,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,4,1013,A1013,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,2,1017,A1017,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,13,1019,A1019,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,2,1048,A1048,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,7,1050,A1050,ANULADO,DESISTÊNCIA DE ESTUDO,11/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,2,1053,A1053,ANULADO,POR MOTIVOS PROFISSIONAIS,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,5,1061,A1061,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,45,1089,A1089,ANULADO,POR MOTIVOS PROFISSIONAIS,03/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,52,1142,A1142,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,56,1150,A1150,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,66,1151,A1151,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,71,1205,A1205,ANULADO,DESISTÊNCIA DE ESTUDO,05/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,56,1253,A1253,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,55,1274,A1274,ANULADO,DESISTÊNCIA DE ESTUDO,03/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,67,1297,A1297,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,53,1360,A1360,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,69,1362,A1362,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,52,1367,A1367,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,46,1410,A1410,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,27,1516,A1516,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,16,1547,A1547,ANULADO,RAZÕES FINANCEIRAS - (PROPINAS),16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,38,1615,A1615,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,72,1641,A1641,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,37,1760,A1760,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,37,1762,A1762,ANULADO,DESISTÊNCIA DE ESTUDO,30/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,58,1853,A1853,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,32,1881,A1881,ANULADO,DESISTÊNCIA DE ESTUDO,09/02/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,18,2091,A2091,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,50,2150,A2150,ANULADO,DESISTÊNCIA DE ESTUDO,26/02/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,58,2166,A2166,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,24,2343,A2343,ANULADO,DESISTÊNCIA DE ESTUDO,07/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,20,2419,A2419,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,23,2487,A2487,ANULADO,DESISTÊNCIA DE ESTUDO,01/02/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,25,2509,A2509,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,62,2589,A2589,ANULADO,DESISTÊNCIA DE ESTUDO,07/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,29,2679,A2679,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,41,2707,A2707,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,17,2768,A2768,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,59,2770,A2770,ANULADO,MUDANÇA DE UNIVERSIDADE,30/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,41,2803,A2803,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,41,2844,A2844,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,72,2864,A2864,ANULADO,DESISTÊNCIA DE ESTUDO,28/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,70,2913,A2913,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,43,2987,A2987,ANULADO,DESISTÊNCIA DE ESTUDO,13/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,16,2988,A2988,ANULADO,DESISTÊNCIA DE ESTUDO,26/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,33,3014,A3014,ANULADO,DESISTÊNCIA DE ESTUDO,15/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,74,3018,A3018,ANULADO,DESISTÊNCIA DE ESTUDO,27/02/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,59,3055,A3055,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,57,3094,A3094,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,62,3149,A3149,ANULADO,DESISTÊNCIA DE ESTUDO,28/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,61,3153,A3153,ANULADO,MOTIVOS DE SAÚDE,12/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,3,3183,A3183,ANULADO,DESISTÊNCIA DE ESTUDO,20/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,15,3204,A3204,ANULADO,DESISTÊNCIA DE ESTUDO,15/02/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,3,3205,A3205,ANULADO,DESISTÊNCIA DE ESTUDO,09/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,59,3238,A3238,ANULADO,DESISTÊNCIA DE ESTUDO,15/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,53,3250,A3250,ANULADO,DESISTÊNCIA DE ESTUDO,30/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,52,3258,A3258,ANULADO,DESISTÊNCIA DE ESTUDO,30/11/2017
